X,Y
1231,575
1226,576
1226,577
1225,578
1224,579
1223,580
1222,581
1219,582
1219,583
1218,584
1217,585
1216,586
1215,587
1214,588
1213,589
1212,590
1210,591
1209,592
1208,593
1207,594
1206,595
1205,596
1204,597
1202,598
1201,599
1200,600
1199,601
1197,602
1195,603
1193,604
1190,605
1188,606
1187,607
1185,608
1184,609
1182,610
1180,611
1178,612
1175,613
1174,614
1172,615
1170,616
1167,617
1164,618
1163,619
1161,620
1158,621
1155,622
1152,623
1148,624
1144,625
1141,626
1138,627
1136,628
1133,629
1130,630
1125,631
1119,632
1116,633
1114,634
1112,635
1110,636
1109,637
1107,638
1107,639
1106,640
1104,641
1103,642
1101,643
1099,644
1097,645
1096,646
1095,647
1093,648
1091,649
1090,650
1088,651
1086,652
1082,653
1079,654
1074,655
1071,656
1068,657
1067,658
1063,659
1060,660
1058,661
1050,662
1045,663
1043,664
1042,665
1040,666
1039,667
1037,668
1037,669
1037,670
1034,671
1033,672
1032,673
1029,674
1029,675
1027,676
1022,677
1024,678
1022,679
1020,680
1017,681
1016,682
1014,683
1010,684
1005,685
1001,686
998,687
996,688
993,689
990,690
987,691
980,692
978,693
973,694
972,695
970,696
969,697
968,698
968,699
966,700
965,701
963,702
962,703
960,704
959,705
958,706
956,707
953,708
951,709
950,710
947,711
944,712
941,713
937,714
934,715
931,716
928,717
926,718
924,719
919,720
912,721
909,722
908,723
906,724
904,725
902,726
901,727
901,728
899,729
898,730
896,731
894,732
893,733
892,734
890,735
888,736
886,737
884,738
882,739
880,740
877,741
871,742
868,743
866,744
863,745
861,746
857,747
853,748
847,749
844,750
843,751
840,752
839,753
839,754
837,755
836,756
834,757
832,758
831,759
829,760
828,761
826,762
824,763
823,764
821,765
819,766
815,767
813,768
808,769
807,770
803,771
801,772
798,773
794,774
790,775
785,776
782,777
779,778
779,779
777,780
776,781
774,782
772,783
771,784
770,785
769,786
766,787
765,788
764,789
762,790
760,791
759,792
755,793
753,794
747,795
745,796
742,797
739,798
736,799
730,800
727,801
723,802
721,803
724,804
717,805
716,806
715,807
713,808
711,809
710,810
708,811
707,812
705,813
702,814
702,815
700,816
699,817
695,818
694,819
689,820
684,821
683,822
680,823
677,824
673,825
670,826
665,827
663,828
660,829
658,830
657,831
655,832
654,833
652,834
651,835
650,836
648,837
647,838
645,839
644,840
642,841
639,842
637,843
634,844
630,845
626,846
622,847
620,848
616,849
611,850
607,851
605,852
603,853
601,854
599,855
597,856
595,857
595,858
593,859
592,860
591,861
589,862
586,863
584,864
581,865
579,866
577,867
575,868
573,869
569,870
565,871
562,872
556,873
552,874
550,875
546,876
546,877
544,878
542,879
541,880
539,881
537,882
536,883
534,884
533,885
532,886
529,887
528,888
525,889
522,890
521,891
517,892
514,893
513,894
508,895
503,896
499,897
497,898
496,899
494,900
490,901
488,902
486,903
485,904
483,905
481,906
480,907
477,908
477,909
474,910
471,911
470,912
467,913
464,914
462,915
461,916
460,917
451,918
446,919
444,920
443,921
439,922
435,923
434,924
430,925
428,926
426,927
425,928
423,929
422,930
421,931
420,932
418,933
417,934
414,935
412,936
410,937
408,938
408,939
406,940
396,941
394,942
392,943
385,944
382,945
380,946
377,947
386,948
385,949
374,950
373,951
371,952
369,953
367,954
366,955
364,956
362,957
360,958
358,959
354,960
351,961
347,962
342,963
339,964
333,965
331,966
328,967
328,968
326,969
324,970
323,971
322,972
320,973
319,974
317,975
316,976
314,977
312,978
311,979
306,980
301,981
297,982
295,983
289,984
287,985
282,986
281,987
278,988
277,989
277,990
275,991
274,992
272,993
271,994
268,995
266,996
264,997
262,998
260,999
256,1000
251,1001
245,1002
242,1003
239,1004
236,1005
235,1006
232,1007
234,1008
231,1009
228,1010
225,1011
224,1012
222,1013
218,1014
217,1015
214,1016
212,1017
211,1018
208,1019
204,1020
207,1021
220,1022
219,1023
216,1024
207,1025
203,1026
203,1027
197,1028
201,1029
208,1030
222,1031
191,1032
201,1033
215,1034
214,1035
209,1036
219,1037
