X,Y
1332,216
1330,217
1329,218
1329,219
1328,220
1326,221
1325,222
1324,223
1323,224
1322,225
1321,226
1320,227
1318,228
1315,229
1315,230
1314,231
1312,232
1311,233
1310,234
1308,235
1307,236
1305,237
1302,238
1300,239
1299,240
1297,241
1294,242
1292,243
1291,244
1288,245
1286,246
1283,247
1281,248
1277,249
1276,250
1274,251
1273,252
1271,253
1269,254
1268,255
1266,256
1264,257
1262,258
1260,259
1258,260
1256,261
1254,262
1253,263
1252,264
1250,265
1247,266
1244,267
1242,268
1240,269
1238,270
1237,271
1234,272
1232,273
1230,274
1229,275
1226,276
1224,277
1221,278
1221,279
1219,280
1216,281
1213,282
1212,283
1209,284
1208,285
1206,286
1204,287
1203,288
1201,289
1199,290
1196,291
1194,292
1192,293
1190,294
1188,295
1186,296
1186,297
1184,298
1180,299
1178,300
1176,301
1174,302
1172,303
1170,304
1168,305
1166,306
1164,307
1162,308
1160,309
1158,310
1157,311
1154,312
1152,313
1150,314
1148,315
1144,316
1144,317
1142,318
1140,319
1138,320
1136,321
1134,322
1132,323
1130,324
1128,325
1126,326
1124,327
1123,328
1121,329
1118,330
1116,331
1114,332
1113,333
1111,334
1110,335
1107,336
1105,337
1103,338
1100,339
1098,340
1096,341
1094,342
1092,343
1091,344
1088,345
1087,346
1083,347
1080,348
1079,349
1078,350
1076,351
1074,352
1072,353
1070,354
1068,355
1066,356
1064,357
1061,358
1061,359
1058,360
1057,361
1055,362
1052,363
1049,364
1048,365
1046,366
1044,367
1041,368
1039,369
1037,370
1036,371
1034,372
1031,373
1030,374
1028,375
1027,376
1025,377
1022,378
1019,379
1017,380
1016,381
1013,382
1012,383
1010,384
1008,385
1006,386
1004,387
1001,388
1000,389
997,390
995,391
993,392
989,393
989,394
986,395
984,396
983,397
980,398
978,399
976,400
974,401
972,402
971,403
969,404
968,405
966,406
965,407
962,408
959,409
957,410
956,411
954,412
951,413
949,414
947,415
945,416
943,417
941,418
939,419
938,420
935,421
932,422
931,423
930,424
928,425
926,426
924,427
922,428
919,429
918,430
916,431
913,432
912,433
910,434
909,435
908,436
905,437
902,438
899,439
897,440
895,441
894,442
891,443
889,444
887,445
885,446
883,447
881,448
879,449
875,450
873,451
873,452
871,453
870,454
868,455
866,456
864,457
862,458
859,459
857,460
855,461
854,462
853,463
851,464
849,465
846,466
842,467
840,468
839,469
836,470
834,471
832,472
831,473
828,474
826,475
822,476
820,477
818,478
817,479
815,480
814,481
812,482
811,483
808,484
807,485
805,486
803,487
801,488
799,489
798,490
797,491
795,492
793,493
790,494
786,495
784,496
782,497
780,498
778,499
776,500
774,501
772,502
768,503
764,504
764,505
762,506
761,507
759,508
758,509
756,510
754,511
752,512
751,513
749,514
747,515
745,516
744,517
742,518
740,519
737,520
734,521
732,522
730,523
728,524
725,525
723,526
721,527
719,528
716,529
712,530
710,531
709,532
708,533
706,534
705,535
703,536
701,537
699,538
698,539
696,540
694,541
693,542
691,543
690,544
688,545
685,546
681,547
679,548
677,549
675,550
673,551
672,552
669,553
667,554
662,555
659,556
657,557
655,558
655,559
653,560
651,561
650,562
648,563
646,564
645,565
644,566
642,567
640,568
639,569
637,570
635,571
632,572
629,573
627,574
625,575
623,576
621,577
619,578
613,579
610,580
608,581
615,582
605,583
604,584
602,585
601,586
600,587
598,588
597,589
596,590
593,591
592,592
590,593
588,594
588,595
585,596
581,597
578,598
577,599
575,600
572,601
570,602
565,603
562,604
559,605
557,606
555,607
553,608
553,609
552,610
551,611
549,612
548,613
546,614
544,615
543,616
542,617
540,618
538,619
537,620
533,621
530,622
528,623
526,624
523,625
520,626
515,627
513,628
511,629
508,630
506,631
505,632
504,633
503,634
501,635
500,636
498,637
497,638
495,639
495,640
494,641
492,642
490,643
488,644
485,645
482,646
480,647
476,648
484,649
468,650
467,651
465,652
462,653
457,654
454,655
454,656
454,657
452,658
451,659
449,660
448,661
448,662
448,663
446,664
443,665
442,666
440,667
437,668
434,669
431,670
427,671
425,672
421,673
418,674
414,675
411,676
412,677
406,678
406,679
405,680
405,681
404,682
402,683
401,684
400,685
400,686
398,687
396,688
394,689
392,690
389,691
386,692
382,693
380,694
377,695
374,696
371,697
366,698
364,699
364,700
362,701
360,702
359,703
358,704
357,705
357,706
357,707
357,708
357,709
357,710
357,711
356,712
355,713
354,714
352,715
353,716
351,717
350,718
