X,Y
1295,329
1295,330
1295,331
1292,332
1292,333
1291,334
1290,335
1289,336
1288,337
1287,338
1285,339
1285,340
1283,341
1282,342
1281,343
1280,344
1279,345
1278,346
1276,347
1274,348
1272,349
1270,350
1268,351
1266,352
1264,353
1262,354
1259,355
1258,356
1255,357
1253,358
1252,359
1250,360
1249,361
1248,362
1245,363
1244,364
1242,365
1241,366
1239,367
1237,368
1234,369
1233,370
1230,371
1228,372
1226,373
1224,374
1222,375
1219,376
1214,377
1211,378
1208,379
1206,380
1204,381
1201,382
1200,383
1198,384
1195,385
1194,386
1191,387
1188,388
1186,389
1185,390
1183,391
1182,392
1181,393
1180,394
1179,395
1177,396
1175,397
1173,398
1172,399
1171,400
1168,401
1166,402
1164,403
1162,404
1160,405
1157,406
1156,407
1151,408
1148,409
1144,410
1140,411
1138,412
1136,413
1135,414
1132,415
1129,416
1128,417
1126,418
1124,419
1123,420
1121,421
1117,422
1117,423
1115,424
1115,425
1113,426
1113,427
1110,428
1108,429
1107,430
1105,431
1102,432
1101,433
1098,434
1097,435
1095,436
1094,437
1090,438
1089,439
1084,440
1081,441
1076,442
1071,443
1070,444
1068,445
1064,446
1064,447
1063,448
1061,449
1059,450
1055,451
1055,452
1053,453
1051,454
1050,455
1050,456
1050,457
1048,458
1046,459
1044,460
1043,461
1040,462
1037,463
1036,464
1034,465
1032,466
1030,467
1028,468
1025,469
1023,470
1018,471
1015,472
1012,473
1007,474
1006,475
1005,476
1002,477
1000,478
998,479
996,480
995,481
992,482
990,483
989,484
988,485
988,486
986,487
986,488
984,489
981,490
980,491
977,492
975,493
973,494
971,495
969,496
967,497
965,498
962,499
959,500
956,501
952,502
948,503
945,504
944,505
941,506
939,507
938,508
936,509
934,510
931,511
929,512
927,513
926,514
926,515
925,516
924,517
923,518
921,519
919,520
917,521
914,522
912,523
910,524
908,525
907,526
904,527
903,528
898,529
895,530
892,531
888,532
884,533
881,534
880,535
878,536
875,537
874,538
872,539
870,540
868,541
866,542
865,543
864,544
863,545
862,546
861,547
860,548
858,549
856,550
854,551
851,552
849,553
848,554
846,555
842,556
839,557
835,558
833,559
828,560
823,561
821,562
820,563
817,564
814,565
813,566
812,567
809,568
809,569
807,570
806,571
805,572
805,573
804,574
803,575
802,576
799,577
797,578
795,579
793,580
790,581
793,582
786,583
782,584
778,585
776,586
773,587
769,588
766,589
762,590
760,591
759,592
757,593
755,594
754,595
752,596
751,597
750,598
749,599
748,600
746,601
746,602
744,603
742,604
740,605
738,606
736,607
734,608
733,609
729,610
724,611
721,612
718,613
715,614
709,615
707,616
705,617
703,618
702,619
700,620
699,621
697,622
696,623
695,624
694,625
693,626
692,627
691,628
689,629
687,630
686,631
684,632
682,633
681,634
675,635
672,636
668,637
666,638
661,639
658,640
652,641
650,642
648,643
648,644
647,645
645,646
643,647
642,648
642,649
641,650
640,651
639,652
637,653
636,654
634,655
632,656
631,657
629,658
625,659
620,660
618,661
616,662
614,663
610,664
602,665
600,666
598,667
597,668
595,669
593,670
592,671
591,672
590,673
589,674
588,675
587,676
586,677
584,678
583,679
581,680
579,681
577,682
575,683
571,684
566,685
564,686
560,687
558,688
554,689
549,690
547,691
546,692
545,693
544,694
542,695
541,696
540,697
538,698
537,699
536,700
534,701
533,702
532,703
529,704
527,705
526,706
521,707
518,708
516,709
513,710
509,711
507,712
503,713
499,714
498,715
496,716
494,717
493,718
492,719
490,720
489,721
488,722
487,723
485,724
484,725
483,726
481,727
479,728
476,729
470,730
469,731
464,732
463,733
459,734
455,735
451,736
449,737
447,738
445,739
443,740
443,741
442,742
441,743
439,744
439,745
438,746
436,747
435,748
433,749
432,750
427,751
423,752
421,753
418,754
416,755
411,756
407,757
403,758
401,759
399,760
398,761
397,762
396,763
395,764
394,765
393,766
392,767
390,768
389,769
387,770
385,771
380,772
378,773
375,774
372,775
370,776
367,777
364,778
359,779
356,780
354,781
353,782
351,783
350,784
350,785
349,786
347,787
346,788
345,789
343,790
342,791
339,792
335,793
333,794
330,795
327,796
324,797
321,798
318,799
315,800
311,801
309,802
308,803
321,804
307,805
307,806
306,807
306,808
306,809
306,810
305,811
305,812
304,813
303,814
302,815
301,816
300,817
300,818
299,819
