X,Y
1278,387
1278,388
1278,389
1277,390
1277,391
1275,392
1274,393
1274,394
1273,395
1270,396
1270,397
1269,398
1268,399
1267,400
1266,401
1264,402
1263,403
1262,404
1261,405
1259,406
1257,407
1255,408
1253,409
1251,410
1249,411
1247,412
1245,413
1243,414
1241,415
1238,416
1237,417
1235,418
1235,419
1233,420
1231,421
1230,422
1229,423
1226,424
1224,425
1222,426
1220,427
1218,428
1216,429
1213,430
1210,431
1209,432
1207,433
1205,434
1203,435
1198,436
1193,437
1187,438
1186,439
1184,440
1181,441
1179,442
1177,443
1174,444
1174,445
1171,446
1169,447
1166,448
1164,449
1163,450
1162,451
1161,452
1161,453
1160,454
1159,455
1158,456
1156,457
1154,458
1152,459
1150,460
1148,461
1146,462
1143,463
1141,464
1140,465
1137,466
1134,467
1130,468
1126,469
1122,470
1117,471
1115,472
1112,473
1109,474
1108,475
1106,476
1104,477
1102,478
1100,479
1098,480
1097,481
1095,482
1094,483
1093,484
1093,485
1092,486
1091,487
1090,488
1088,489
1086,490
1084,491
1082,492
1079,493
1078,494
1075,495
1074,496
1072,497
1069,498
1062,499
1059,500
1056,501
1052,502
1048,503
1045,504
1043,505
1041,506
1039,507
1038,508
1036,509
1035,510
1032,511
1030,512
1029,513
1028,514
1027,515
1027,516
1026,517
1025,518
1023,519
1021,520
1019,521
1017,522
1014,523
1013,524
1011,525
1009,526
1006,527
1003,528
998,529
995,530
991,531
988,532
983,533
981,534
979,535
977,536
975,537
974,538
972,539
969,540
968,541
966,542
965,543
964,544
963,545
963,546
962,547
961,548
959,549
957,550
955,551
953,552
950,553
948,554
947,555
944,556
941,557
935,558
932,559
930,560
926,561
922,562
918,563
915,564
914,565
909,566
910,567
909,568
907,569
905,570
904,571
903,572
902,573
901,574
901,575
899,576
898,577
896,578
895,579
892,580
890,581
892,582
887,583
884,584
881,585
876,586
873,587
870,588
867,589
863,590
859,591
856,592
853,593
852,594
851,595
849,596
847,597
845,598
844,599
843,600
842,601
840,602
840,603
838,604
837,605
836,606
834,607
832,608
830,609
828,610
825,611
823,612
820,613
815,614
813,615
809,616
805,617
801,618
798,619
796,620
794,621
793,622
791,623
789,624
787,625
786,626
785,627
783,628
783,629
781,630
780,631
779,632
777,633
775,634
773,635
772,636
770,637
768,638
765,639
762,640
757,641
755,642
752,643
747,644
742,645
737,646
736,647
735,648
734,649
732,650
731,651
729,652
728,653
727,654
726,655
725,656
724,657
722,658
721,659
719,660
717,661
714,662
713,663
710,664
705,665
701,666
698,667
695,668
692,669
690,670
684,671
682,672
679,673
679,674
677,675
676,676
674,677
673,678
672,679
671,680
670,681
669,682
667,683
666,684
665,685
664,686
662,687
660,688
658,689
655,690
649,691
647,692
644,693
641,694
636,695
632,696
627,697
627,698
625,699
622,700
622,701
620,702
619,703
618,704
617,705
616,706
614,707
617,708
612,709
610,710
608,711
607,712
606,713
601,714
597,715
593,716
591,717
589,718
585,719
580,720
577,721
571,722
570,723
569,724
569,725
567,726
566,727
565,728
564,729
563,730
562,731
560,732
559,733
558,734
557,735
554,736
551,737
545,738
543,739
541,740
538,741
536,742
532,743
529,744
525,745
522,746
521,747
519,748
517,749
516,750
515,751
514,752
512,753
511,754
509,755
508,756
506,757
505,758
503,759
499,760
494,761
492,762
488,763
486,764
483,765
480,766
475,767
474,768
471,769
470,770
468,771
467,772
465,773
464,774
463,775
462,776
461,777
459,778
458,779
456,780
455,781
452,782
447,783
443,784
442,785
440,786
438,787
435,788
429,789
425,790
422,791
419,792
418,793
418,794
417,795
416,796
415,797
414,798
412,799
411,800
409,801
408,802
405,803
408,804
397,805
396,806
399,807
390,808
387,809
385,810
379,811
376,812
373,813
376,814
371,815
370,816
369,817
368,818
367,819
366,820
367,821
363,822
361,823
359,824
358,825
351,826
348,827
347,828
345,829
341,830
335,831
331,832
328,833
327,834
325,835
324,836
323,837
323,838
322,839
321,840
319,841
317,842
316,843
314,844
309,845
305,846
304,847
302,848
299,849
296,850
293,851
290,852
285,853
290,854
282,855
281,856
280,857
280,858
280,859
279,860
279,861
279,862
278,863
277,864
276,865
276,866
275,867
274,868
273,869
273,870
275,871
