X,Y
1365,107
1366,108
1363,109
1362,110
1361,111
1360,112
1358,113
1357,114
1356,115
1355,116
1353,117
1353,118
1351,119
1350,120
1349,121
1348,122
1347,123
1345,124
1344,125
1343,126
1343,127
1341,128
1341,129
1340,130
1337,131
1335,132
1334,133
1331,134
1330,135
1328,136
1326,137
1323,138
1322,139
1320,140
1317,141
1312,142
1311,143
1307,144
1305,145
1302,146
1300,147
1298,148
1296,149
1295,150
1293,151
1291,152
1289,153
1287,154
1286,155
1285,156
1283,157
1282,158
1281,159
1278,160
1277,161
1276,162
1275,163
1274,164
1271,165
1269,166
1267,167
1266,168
1264,169
1263,170
1260,171
1258,172
1256,173
1254,174
1251,175
1247,176
1243,177
1242,178
1239,179
1237,180
1235,181
1233,182
1232,183
1229,184
1227,185
1226,186
1224,187
1222,188
1220,189
1219,190
1218,191
1216,192
1215,193
1212,194
1212,195
1208,196
1207,197
1206,198
1204,199
1203,200
1202,201
1200,202
1196,203
1195,204
1191,205
1189,206
1187,207
1186,208
1183,209
1180,210
1177,211
1175,212
1173,213
1171,214
1169,215
1167,216
1165,217
1163,218
1161,219
1159,220
1158,221
1157,222
1156,223
1154,224
1152,225
1150,226
1148,227
1147,228
1146,229
1144,230
1141,231
1140,232
1139,233
1137,234
1135,235
1134,236
1131,237
1129,238
1127,239
1125,240
1122,241
1118,242
1116,243
1114,244
1112,245
1110,246
1108,247
1106,248
1104,249
1102,250
1100,251
1098,252
1097,253
1096,254
1094,255
1092,256
1091,257
1089,258
1088,259
1086,260
1085,261
1083,262
1081,263
1079,264
1078,265
1076,266
1073,267
1071,268
1069,269
1067,270
1065,271
1062,272
1060,273
1058,274
1053,275
1052,276
1049,277
1048,278
1046,279
1044,280
1042,281
1040,282
1039,283
1037,284
1035,285
1032,286
1031,287
1030,288
1029,289
1028,290
1026,291
1025,292
1022,293
1022,294
1020,295
1018,296
1017,297
1014,298
1013,299
1010,300
1007,301
1005,302
1002,303
999,304
996,305
994,306
992,307
990,308
988,309
986,310
985,311
983,312
980,313
979,314
978,315
975,316
973,317
971,318
970,319
969,320
967,321
966,322
964,323
962,324
960,325
958,326
957,327
954,328
953,329
950,330
949,331
947,332
945,333
939,334
938,335
936,336
934,337
932,338
930,339
928,340
926,341
924,342
923,343
922,344
920,345
917,346
915,347
915,348
914,349
912,350
910,351
908,352
906,353
903,354
902,355
899,356
898,357
896,358
895,359
893,360
891,361
889,362
886,363
882,364
881,365
878,366
877,367
875,368
873,369
871,370
869,371
868,372
865,373
863,374
860,375
859,376
859,377
857,378
856,379
854,380
852,381
849,382
848,383
846,384
844,385
842,386
841,387
840,388
837,389
835,390
832,391
827,392
825,393
824,394
822,395
820,396
819,397
817,398
815,399
814,400
812,401
808,402
806,403
805,404
804,405
803,406
802,407
800,408
798,409
795,410
794,411
791,412
790,413
788,414
787,415
786,416
784,417
780,418
777,419
773,420
772,421
770,422
769,423
766,424
765,425
763,426
761,427
759,428
755,429
754,430
753,431
751,432
750,433
748,434
747,435
745,436
743,437
741,438
739,439
738,440
736,441
735,442
733,443
730,444
729,445
723,446
721,447
720,448
718,449
716,450
713,451
711,452
710,453
708,454
705,455
703,456
702,457
701,458
700,459
698,460
696,461
694,462
692,463
691,464
689,465
688,466
686,467
684,468
682,469
681,470
677,471
673,472
670,473
669,474
667,475
666,476
663,477
662,478
658,479
654,480
653,481
652,482
651,483
649,484
648,485
647,486
645,487
643,488
641,489
640,490
639,491
637,492
636,493
634,494
632,495
628,496
626,497
623,498
620,499
619,500
616,501
614,502
613,503
607,504
606,505
604,506
604,507
603,508
602,509
600,510
598,511
596,512
595,513
594,514
591,515
590,516
589,517
587,518
585,519
583,520
578,521
575,522
574,523
570,524
569,525
567,526
564,527
561,528
559,529
558,530
557,531
555,532
554,533
553,534
552,535
550,536
548,537
547,538
546,539
544,540
543,541
541,542
539,543
537,544
533,545
529,546
527,547
525,548
523,549
520,550
516,551
514,552
513,553
511,554
510,555
509,556
507,557
507,558
505,559
503,560
501,561
500,562
498,563
497,564
497,565
495,566
492,567
488,568
484,569
481,570
480,571
477,572
474,573
471,574
468,575
467,576
466,577
465,578
463,579
462,580
461,581
469,582
458,583
457,584
455,585
453,586
452,587
451,588
449,589
444,590
442,591
438,592
436,593
434,594
432,595
428,596
426,597
424,598
423,599
422,600
420,601
419,602
418,603
416,604
415,605
414,606
412,607
411,608
410,609
409,610
409,611
408,612
407,613
405,614
404,615
404,616
403,617
402,618
401,619
400,620
399,621
400,622
