X,Y
1314,272
1313,273
1313,274
1312,275
1311,276
1310,277
1309,278
1307,279
1307,280
1305,281
1304,282
1302,283
1301,284
1300,285
1299,286
1297,287
1296,288
1294,289
1293,290
1291,291
1289,292
1287,293
1285,294
1283,295
1281,296
1279,297
1277,298
1275,299
1272,300
1270,301
1268,302
1267,303
1263,304
1261,305
1260,306
1258,307
1257,308
1256,309
1253,310
1251,311
1249,312
1248,313
1245,314
1244,315
1241,316
1239,317
1237,318
1236,319
1234,320
1230,321
1227,322
1225,323
1223,324
1222,325
1220,326
1218,327
1216,328
1214,329
1212,330
1210,331
1207,332
1205,333
1203,334
1202,335
1200,336
1198,337
1195,338
1193,339
1191,340
1189,341
1188,342
1186,343
1184,344
1182,345
1180,346
1174,347
1176,348
1173,349
1172,350
1169,351
1167,352
1166,353
1164,354
1161,355
1158,356
1156,357
1155,358
1152,359
1150,360
1148,361
1146,362
1144,363
1142,364
1139,365
1138,366
1136,367
1134,368
1132,369
1130,370
1127,371
1126,372
1124,373
1122,374
1121,375
1119,376
1117,377
1115,378
1113,379
1111,380
1109,381
1107,382
1105,383
1101,384
1099,385
1096,386
1094,387
1093,388
1090,389
1088,390
1086,391
1084,392
1082,393
1080,394
1078,395
1076,396
1074,397
1072,398
1071,399
1070,400
1069,401
1065,402
1062,403
1061,404
1059,405
1057,406
1055,407
1054,408
1051,409
1049,410
1047,411
1045,412
1043,413
1041,414
1039,415
1035,416
1033,417
1031,418
1029,419
1029,420
1025,421
1023,422
1022,423
1019,424
1017,425
1015,426
1013,427
1011,428
1009,429
1008,430
1007,431
1005,432
1003,433
1000,434
998,435
996,436
994,437
992,438
990,439
988,440
985,441
983,442
981,443
979,444
977,445
974,446
971,447
970,448
968,449
967,450
965,451
963,452
961,453
959,454
957,455
955,456
952,457
951,458
949,459
948,460
946,461
945,462
942,463
938,464
936,465
934,466
932,467
930,468
928,469
927,470
924,471
922,472
920,473
917,474
913,475
910,476
908,477
907,478
905,479
904,480
902,481
899,482
898,483
896,484
894,485
893,486
891,487
890,488
888,489
887,490
885,491
882,492
879,493
877,494
875,495
873,496
871,497
869,498
867,499
864,500
863,501
860,502
856,503
854,504
851,505
850,506
848,507
847,508
845,509
843,510
841,511
840,512
838,513
836,514
834,515
832,516
831,517
829,518
828,519
825,520
822,521
819,522
818,523
815,524
813,525
811,526
809,527
807,528
805,529
802,530
798,531
795,532
794,533
793,534
792,535
790,536
788,537
786,538
783,539
782,540
780,541
778,542
777,543
776,544
774,545
772,546
769,547
767,548
764,549
762,550
760,551
758,552
756,553
754,554
751,555
747,556
742,557
738,558
737,559
735,560
734,561
731,562
731,563
729,564
729,565
725,566
723,567
724,568
723,569
720,570
719,571
718,572
715,573
713,574
710,575
708,576
706,577
704,578
702,579
700,580
697,581
700,582
690,583
688,584
684,585
682,586
680,587
677,588
678,589
676,590
672,591
670,592
669,593
669,594
667,595
666,596
665,597
664,598
662,599
659,600
657,601
655,602
652,603
651,604
649,605
647,606
640,607
637,608
635,609
632,610
629,611
628,612
625,613
624,614
622,615
621,616
620,617
618,618
615,619
614,620
614,621
614,622
613,623
610,624
607,625
605,626
603,627
602,628
599,629
597,630
592,631
589,632
587,633
584,634
579,635
575,636
573,637
572,638
571,639
569,640
568,641
566,642
566,643
566,644
564,645
563,646
562,647
562,648
559,649
556,650
554,651
552,652
550,653
546,654
541,655
538,656
537,657
534,658
529,659
526,660
523,661
522,662
519,663
519,664
517,665
516,666
515,667
514,668
513,669
512,670
511,671
510,672
508,673
506,674
505,675
503,676
502,677
495,678
492,679
490,680
486,681
482,682
479,683
474,684
473,685
471,686
469,687
469,688
468,689
467,690
466,691
466,692
465,693
463,694
462,695
461,696
459,697
457,698
453,699
449,700
445,701
443,702
440,703
436,704
434,705
429,706
427,707
434,708
423,709
422,710
422,711
421,712
420,713
419,714
418,715
417,716
415,717
414,718
413,719
411,720
406,721
403,722
400,723
398,724
395,725
391,726
388,727
385,728
381,729
379,730
377,731
376,732
375,733
375,734
374,735
373,736
372,737
370,738
369,739
368,740
366,741
361,742
359,743
357,744
355,745
353,746
350,747
346,748
342,749
339,750
336,751
334,752
334,753
333,754
332,755
332,756
332,757
332,758
332,759
331,760
331,761
330,762
329,763
328,764
327,765
326,766
326,767
325,768
324,769
