X,Y
1262,448
1261,449
1261,450
1260,451
1259,452
1258,453
1257,454
1256,455
1255,456
1254,457
1252,458
1251,459
1251,460
1249,461
1248,462
1247,463
1246,464
1246,465
1244,466
1243,467
1241,468
1240,469
1238,470
1236,471
1234,472
1232,473
1230,474
1227,475
1225,476
1223,477
1221,478
1219,479
1218,480
1217,481
1215,482
1213,483
1212,484
1209,485
1207,486
1205,487
1203,488
1201,489
1199,490
1196,491
1194,492
1192,493
1190,494
1188,495
1185,496
1181,497
1176,498
1174,499
1169,500
1165,501
1163,502
1160,503
1159,504
1155,505
1154,506
1152,507
1150,508
1149,509
1147,510
1145,511
1144,512
1143,513
1142,514
1141,515
1140,516
1139,517
1137,518
1135,519
1133,520
1132,521
1130,522
1128,523
1125,524
1124,525
1121,526
1117,527
1113,528
1108,529
1106,530
1104,531
1098,532
1094,533
1091,534
1089,535
1086,536
1085,537
1084,538
1083,539
1080,540
1078,541
1077,542
1076,543
1074,544
1074,545
1073,546
1072,547
1071,548
1070,549
1068,550
1065,551
1064,552
1061,553
1060,554
1058,555
1056,556
1054,557
1051,558
1045,559
1039,560
1039,561
1035,562
1031,563
1024,564
1022,565
1020,566
1019,567
1017,568
1016,569
1013,570
1012,571
1010,572
1009,573
1008,574
1007,575
1006,576
1005,577
1004,578
1003,579
1001,580
999,581
999,582
995,583
993,584
991,585
988,586
986,587
981,588
977,589
975,590
972,591
969,592
965,593
961,594
958,595
956,596
952,597
951,598
949,599
948,600
947,601
945,602
944,603
943,604
942,605
941,606
940,607
938,608
937,609
935,610
933,611
930,612
929,613
927,614
924,615
922,616
917,617
912,618
910,619
908,620
903,621
900,622
895,623
893,624
892,625
890,626
887,627
887,628
885,629
883,630
882,631
881,632
880,633
879,634
878,635
876,636
874,637
873,638
871,639
870,640
867,641
865,642
862,643
860,644
854,645
850,646
848,647
844,648
841,649
838,650
835,651
831,652
829,653
827,654
827,655
824,656
823,657
822,658
820,659
819,660
818,661
817,662
815,663
814,664
813,665
811,666
809,667
807,668
805,669
803,670
800,671
794,672
792,673
790,674
786,675
783,676
778,677
776,678
772,679
770,680
769,681
766,682
766,683
763,684
762,685
761,686
759,687
758,688
757,689
756,690
755,691
753,692
751,693
749,694
747,695
744,696
742,697
739,698
734,699
732,700
729,701
727,702
721,703
716,704
714,705
711,706
711,707
709,708
708,709
706,710
704,711
703,712
702,713
701,714
700,715
699,716
697,717
695,718
694,719
692,720
690,721
687,722
685,723
679,724
677,725
673,726
670,727
665,728
661,729
656,730
656,731
654,732
653,733
651,734
650,735
648,736
647,737
646,738
645,739
644,740
642,741
641,742
639,743
636,744
634,745
633,746
630,747
624,748
621,749
619,750
615,751
611,752
607,753
602,754
601,755
599,756
600,757
597,758
597,759
595,760
593,761
592,762
591,763
590,764
588,765
587,766
585,767
584,768
582,769
580,770
577,771
572,772
569,773
566,774
563,775
562,776
557,777
550,778
548,779
547,780
546,781
545,782
542,783
541,784
540,785
539,786
538,787
536,788
535,789
533,790
532,791
530,792
528,793
525,794
522,795
517,796
514,797
512,798
508,799
506,800
500,801
496,802
495,803
502,804
492,805
490,806
497,807
488,808
487,809
486,810
484,811
483,812
481,813
481,814
479,815
477,816
471,817
469,818
466,819
464,820
461,821
457,822
451,823
448,824
448,825
444,826
443,827
441,828
439,829
438,830
437,831
436,832
434,833
433,834
431,835
429,836
427,837
424,838
419,839
417,840
415,841
413,842
410,843
406,844
400,845
398,846
395,847
394,848
393,849
391,850
390,851
389,852
387,853
389,854
384,855
383,856
382,857
380,858
377,859
372,860
369,861
367,862
365,863
362,864
359,865
355,866
350,867
348,868
346,869
344,870
343,871
342,872
341,873
339,874
338,875
337,876
335,877
334,878
332,879
326,880
324,881
321,882
319,883
317,884
314,885
309,886
305,887
302,888
300,889
298,890
297,891
296,892
295,893
293,894
292,895
291,896
289,897
287,898
282,899
280,900
278,901
275,902
273,903
270,904
268,905
264,906
261,907
257,908
262,909
254,910
253,911
252,912
252,913
252,914
251,915
251,916
251,917
250,918
250,919
248,920
247,921
247,922
246,923
245,924
245,925
