X,Y
1251,510
1244,511
1243,512
1243,513
1243,514
1242,515
1242,516
1239,517
1239,518
1238,519
1237,520
1237,521
1235,522
1234,523
1233,524
1231,525
1230,526
1228,527
1227,528
1227,529
1225,530
1223,531
1222,532
1219,533
1218,534
1218,535
1216,536
1213,537
1211,538
1209,539
1207,540
1205,541
1204,542
1202,543
1201,544
1199,545
1198,546
1195,547
1193,548
1191,549
1188,550
1186,551
1184,552
1181,553
1179,554
1178,555
1174,556
1173,557
1172,558
1167,559
1161,560
1160,561
1157,562
1155,563
1150,564
1144,565
1141,566
1140,567
1137,568
1135,569
1133,570
1131,571
1129,572
1128,573
1127,574
1125,575
1123,576
1123,577
1122,578
1120,579
1119,580
1117,581
1117,582
1115,583
1113,584
1110,585
1107,586
1106,587
1103,588
1100,589
1097,590
1094,591
1089,592
1087,593
1084,594
1082,595
1078,596
1071,597
1068,598
1066,599
1065,600
1062,601
1061,602
1059,603
1059,604
1056,605
1055,606
1054,607
1053,608
1052,609
1050,610
1049,611
1048,612
1046,613
1044,614
1042,615
1040,616
1037,617
1036,618
1035,619
1031,620
1026,621
1023,622
1019,623
1017,624
1015,625
1008,626
1002,627
1001,628
1000,629
996,630
994,631
992,632
991,633
991,634
989,635
988,636
986,637
985,638
984,639
982,640
982,641
980,642
979,643
977,644
975,645
973,646
970,647
967,648
965,649
960,650
955,651
954,652
951,653
949,654
945,655
940,656
934,657
932,658
932,659
930,660
928,661
926,662
925,663
923,664
922,665
921,666
920,667
919,668
917,669
916,670
915,671
913,672
911,673
908,674
906,675
904,676
899,677
897,678
893,679
891,680
887,681
884,682
881,683
877,684
872,685
869,686
867,687
865,688
863,689
862,690
862,691
860,692
859,693
857,694
856,695
854,696
853,697
853,698
851,699
850,700
847,701
846,702
843,703
841,704
838,705
834,706
829,707
826,708
824,709
821,710
816,711
812,712
807,713
805,714
803,715
802,716
801,717
800,718
799,719
798,720
796,721
795,722
792,723
791,724
790,725
789,726
787,727
785,728
783,729
781,730
778,731
776,732
770,733
767,734
764,735
762,736
758,737
753,738
748,739
747,740
744,741
743,742
741,743
741,744
740,745
737,746
736,747
735,748
734,749
732,750
730,751
730,752
728,753
725,754
724,755
721,756
719,757
714,758
711,759
708,760
705,761
702,762
699,763
694,764
690,765
687,766
685,767
683,768
683,769
682,770
680,771
678,772
677,773
676,774
675,775
673,776
672,777
670,778
668,779
666,780
665,781
663,782
658,783
653,784
650,785
648,786
645,787
641,788
638,789
633,790
631,791
629,792
628,793
626,794
625,795
624,796
622,797
620,798
619,799
618,800
616,801
614,802
612,803
616,804
609,805
607,806
608,807
598,808
596,809
593,810
590,811
585,812
582,813
577,814
577,815
573,816
573,817
571,818
568,819
568,820
565,821
565,822
564,823
562,824
561,825
559,826
558,827
556,828
554,829
551,830
547,831
544,832
539,833
538,834
534,835
528,836
526,837
522,838
521,839
517,840
515,841
513,842
513,843
512,844
510,845
510,846
508,847
508,848
506,849
505,850
503,851
501,852
496,853
493,854
488,855
486,856
482,857
478,858
473,859
468,860
469,861
468,862
465,863
463,864
462,865
461,866
460,867
459,868
457,869
456,870
455,871
452,872
451,873
448,874
444,875
440,876
438,877
435,878
432,879
427,880
422,881
419,882
418,883
415,884
414,885
412,886
411,887
410,888
408,889
407,890
404,891
403,892
401,893
399,894
398,895
394,896
391,897
388,898
386,899
384,900
379,901
377,902
374,903
368,904
367,905
365,906
362,907
361,908
364,909
358,910
357,911
356,912
354,913
352,914
350,915
347,916
348,917
341,918
339,919
336,920
333,921
330,922
327,923
321,924
320,925
317,926
315,927
313,928
312,929
309,930
309,931
306,932
305,933
304,934
302,935
300,936
299,937
297,938
300,939
297,940
290,941
286,942
282,943
277,944
275,945
269,946
267,947
279,948
276,949
261,950
260,951
259,952
257,953
255,954
252,955
251,956
249,957
247,958
244,959
242,960
240,961
235,962
231,963
229,964
227,965
225,966
224,967
224,968
224,969
223,970
223,971
222,972
222,973
221,974
221,975
219,976
219,977
217,978
216,979
215,980
